path,label,source_split,fold
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_14.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/NwAAAgKXbuA-1920.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/train_Alaris_0057.jpg,Alaris,val,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/295723711_kolesnyie-diski-original-skoda-oktaviya-3-2-75x18-et51-5x112.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/VIAAAgEMROA-960.jpg,Alaris,val,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/73c2be6s-960.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/bfbb3es-1920.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0046.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/iQv_aTX2R2wKZr82ckcQZOW-1U4-960.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/CwAAAgOi2-A-960.jpg,Alaris,val,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/1200x900.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/train_Alaris_0015.jpg,Alaris,val,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0047.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0054.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Riko5pY_NHIKSNL5dSGJ9TVBi64-960.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0009.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/val_Alaris_0012.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_23.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/8SrvdZsHapQ3KI6lzxbDx9ji0mk-960.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_66.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_10.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/val_Alaris_0010.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/Alaris_68.jpg,Alaris,val,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_32.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0063.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_67.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_4.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_22.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/val_Alaris_0014.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_63.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_25.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0052.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/b6ef29cs-960.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/BXFUZBh8.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_75.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0004.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/48AAAgFoLuA-1920.jpg,Alaris,val,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_76.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/1308942s-960.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/BTsXVotDW0rDrNr94Yil3zIpG5s-1920.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/Alaris_11.jpg,Alaris,val,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/Alaris_24.jpg,Alaris,val,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/6a647f2s-960.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/SoAAAgEMROA-1920.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/val_Alaris_0013.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alu-Felga-Aluminowa-18-Skoda-Octavia-III.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/d6cb39ds-1920.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/fd447f2s-960.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_69.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/iNMj7Ba2dv0pTC_sWujX-LY-B6g-960.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/PfLZ1-xXFGp2MXN6mLdShUlwcLo-960.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_27.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/4a687c2s-960.jpg,Alaris,val,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_41.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_35.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/1715728391999_bulletin.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_44.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0016.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/0l6ZkW.jpg,Alaris,val,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/7472d6as-960.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_45.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0013.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/Felgi-Skoda-Octavia-III-5E0-7-5Jx18H2-Et51-5x112-Model-Octavia-III-5E0.jpg,Alaris,val,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/Alaris_56.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0053.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/e2aaa6s-1920.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/jkM6lfdZXjnqBbXaK8pZzOaNJIQ-960.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0048.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/gWAAAgGUCuA-480.jpg,Alaris,train,3
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/train_Alaris_0006.jpg,Alaris,train,4
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/orig.jpg,Alaris,train,0
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/wtZL5RjFaX0krJinAAUS4b43ViY-1920.jpg,Alaris,train,1
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/train/Alaris/fXMDTqDAgvuIK18KAiaQQsAuQu4-1920.jpg,Alaris,train,2
/home/dudalypas/projects/DudaRims/flutter_bandymas/PROD_cropped/val/Alaris/Alaris_33.jpg,Alaris,val,3
